date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:17:45	46354/46354	---M-Z	200	added ('OK')	text/html	etag:%22b512-582d977cd2340-gzip%22	https://kelsey.dexignzone.com/xhtml/	avo/avo/kelsey.dexignzone.com/xhtml/index.html	(from )
10:17:45	234/234	---M--	302	error ('Found')	text/html	date:Thu,%2026%20Dec%202019%2015:17:43%20GMT	https://kelsey.dexignzone.com/robots.txt		(from )
10:17:47	260/260	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Dec%202019%2015:17:46%20GMT	http://kelsey.dexignzone.com/xhtml/social-image.png	avo/avo/kelsey.dexignzone.com/xhtml/social-image.0.delayed	(from https://kelsey.dexignzone.com/xhtml/)
10:17:48	3196/3196	---M--	200	added ('OK')	image/x-icon	etag:%22c7c-5828df725c300%22	https://kelsey.dexignzone.com/xhtml/images/favicon.ico	avo/avo/kelsey.dexignzone.com/xhtml/images/favicon.ico	(from https://kelsey.dexignzone.com/xhtml/)
10:17:49	424/424	---M--	200	added ('OK')	image/png	etag:%221a8-5828df725c300%22	https://kelsey.dexignzone.com/xhtml/images/favicon.png	avo/avo/kelsey.dexignzone.com/xhtml/images/favicon.png	(from https://kelsey.dexignzone.com/xhtml/)
10:17:53	1081/1081	---M--	200	added ('OK')	text/css	etag:%22439-5828feb780980%22	https://kelsey.dexignzone.com/xhtml/css/plugins.css	avo/avo/kelsey.dexignzone.com/xhtml/css/plugins.css	(from https://kelsey.dexignzone.com/xhtml/)
10:17:57	211411/211411	---M--	200	added ('OK')	image/png	etag:%22339d3-582d9740bd580%22	https://kelsey.dexignzone.com/xhtml/social-image.png	avo/avo/kelsey.dexignzone.com/xhtml/social-image.png	(from https://kelsey.dexignzone.com/xhtml/)
10:18:00	26588/26588	---M--	200	added ('OK')	text/css	etag:%2267dc-583e246123840%22	https://kelsey.dexignzone.com/xhtml/css/templete.css	avo/avo/kelsey.dexignzone.com/xhtml/css/templete.css	(from https://kelsey.dexignzone.com/xhtml/)
10:18:01	6380/6380	---M--	200	added ('OK')	text/css	etag:%2218ec-5828feba5d040%22	https://kelsey.dexignzone.com/xhtml/css/skin/skin-1.css	avo/avo/kelsey.dexignzone.com/xhtml/css/skin/skin-1.css	(from https://kelsey.dexignzone.com/xhtml/)
10:18:03	30060/30060	---M--	200	added ('OK')	text/css	etag:%22756c-5828dfc08fb80%22	https://kelsey.dexignzone.com/xhtml/plugins/revolution/revolution/css/settings.css	avo/avo/kelsey.dexignzone.com/xhtml/plugins/revolution/revolution/css/settings.css	(from https://kelsey.dexignzone.com/xhtml/)
10:18:07	59576/59576	---M--	200	added ('OK')	text/css	etag:%22e8b8-5828dfbf9b940%22	https://kelsey.dexignzone.com/xhtml/plugins/revolution/revolution/css/navigation.css	avo/avo/kelsey.dexignzone.com/xhtml/plugins/revolution/revolution/css/navigation.css	(from https://kelsey.dexignzone.com/xhtml/)
10:18:08	46354/46354	---M-Z	200	added ('OK')	text/html	etag:%22b512-582d977cd2340-gzip%22	https://kelsey.dexignzone.com/xhtml/index.html	avo/avo/kelsey.dexignzone.com/xhtml/index-2.html	(from https://kelsey.dexignzone.com/xhtml/)
10:18:08	1034/1034	---M--	200	added ('OK')	image/png	etag:%2240a-5828df725c300%22	https://kelsey.dexignzone.com/xhtml/images/logo-white.png	avo/avo/kelsey.dexignzone.com/xhtml/images/logo-white.png	(from https://kelsey.dexignzone.com/xhtml/)
10:18:09	140793/140793	---M--	200	added ('OK')	text/css	etag:%22225f9-5828dfbf9b940%22	https://kelsey.dexignzone.com/xhtml/plugins/revolution/revolution/css/layers.css	avo/avo/kelsey.dexignzone.com/xhtml/plugins/revolution/revolution/css/layers.css	(from https://kelsey.dexignzone.com/xhtml/)
10:18:09	289392/289392	---M--	200	added ('OK')	text/css	etag:%2246a70-5828feb874bc0%22	https://kelsey.dexignzone.com/xhtml/css/style.css	avo/avo/kelsey.dexignzone.com/xhtml/css/style.css	(from https://kelsey.dexignzone.com/xhtml/)
10:18:10	37467/37467	---M-Z	200	added ('OK')	text/html	etag:%22925b-582d977cd2340-gzip%22	https://kelsey.dexignzone.com/xhtml/index-2.html	avo/avo/kelsey.dexignzone.com/xhtml/index-3.html	(from https://kelsey.dexignzone.com/xhtml/)
10:18:10	30162/30162	---M-Z	200	added ('OK')	text/html	etag:%2275d2-582d977cd2340-gzip%22	https://kelsey.dexignzone.com/xhtml/index-3.html	avo/avo/kelsey.dexignzone.com/xhtml/index-4.html	(from https://kelsey.dexignzone.com/xhtml/)
10:18:11	32759/32759	---M-Z	200	added ('OK')	text/html	etag:%227ff7-582d977cd2340-gzip%22	https://kelsey.dexignzone.com/xhtml/index-4.html	avo/avo/kelsey.dexignzone.com/xhtml/index-5.html	(from https://kelsey.dexignzone.com/xhtml/)
10:18:12	39141/39141	---M-Z	200	added ('OK')	text/html	etag:%2298e5-582d977bde100-gzip%22	https://kelsey.dexignzone.com/xhtml/index-5.html	avo/avo/kelsey.dexignzone.com/xhtml/index-6.html	(from https://kelsey.dexignzone.com/xhtml/)
10:18:13	44564/44564	---M-Z	200	added ('OK')	text/html	etag:%22ae14-582d977eba7c0-gzip%22	https://kelsey.dexignzone.com/xhtml/post-standart.html	avo/avo/kelsey.dexignzone.com/xhtml/post-standart.html	(from https://kelsey.dexignzone.com/xhtml/)
10:18:14	44302/44302	---M-Z	200	added ('OK')	text/html	etag:%22ad0e-582d977ae9ec0-gzip%22	https://kelsey.dexignzone.com/xhtml/post-left-sidebar.html	avo/avo/kelsey.dexignzone.com/xhtml/post-left-sidebar.html	(from https://kelsey.dexignzone.com/xhtml/)
10:18:15	38212/38212	---M-Z	200	added ('OK')	text/html	etag:%229544-582d977ae9ec0-gzip%22	https://kelsey.dexignzone.com/xhtml/post-full-width.html	avo/avo/kelsey.dexignzone.com/xhtml/post-full-width.html	(from https://kelsey.dexignzone.com/xhtml/)
10:18:16	44221/44221	---M-Z	200	added ('OK')	text/html	etag:%22acbd-582d977eba7c0-gzip%22	https://kelsey.dexignzone.com/xhtml/post-slide-show.html	avo/avo/kelsey.dexignzone.com/xhtml/post-slide-show.html	(from https://kelsey.dexignzone.com/xhtml/)
10:18:17	44577/44577	---M-Z	200	added ('OK')	text/html	etag:%22ae21-582d977eba7c0-gzip%22	https://kelsey.dexignzone.com/xhtml/post-with-small-side-image.html	avo/avo/kelsey.dexignzone.com/xhtml/post-with-small-side-image.html	(from https://kelsey.dexignzone.com/xhtml/)
10:18:18	37308/37308	---M-Z	200	added ('OK')	text/html	etag:%2291bc-582d977ae9ec0-gzip%22	https://kelsey.dexignzone.com/xhtml/post-gallery.html	avo/avo/kelsey.dexignzone.com/xhtml/post-gallery.html	(from https://kelsey.dexignzone.com/xhtml/)
10:18:19	44383/44383	---M-Z	200	added ('OK')	text/html	etag:%22ad5f-582d977ae9ec0-gzip%22	https://kelsey.dexignzone.com/xhtml/post-gallery-alternative.html	avo/avo/kelsey.dexignzone.com/xhtml/post-gallery-alternative.html	(from https://kelsey.dexignzone.com/xhtml/)
10:18:20	41650/41650	---M-Z	200	added ('OK')	text/html	etag:%22a2b2-582d977faea00-gzip%22	https://kelsey.dexignzone.com/xhtml/post-link.html	avo/avo/kelsey.dexignzone.com/xhtml/post-link.html	(from https://kelsey.dexignzone.com/xhtml/)
10:18:22	41723/41723	---M-Z	200	added ('OK')	text/html	etag:%22a2fb-582d977bde100-gzip%22	https://kelsey.dexignzone.com/xhtml/post-audio.html	avo/avo/kelsey.dexignzone.com/xhtml/post-audio.html	(from https://kelsey.dexignzone.com/xhtml/)
10:18:24	41664/41664	---M-Z	200	added ('OK')	text/html	etag:%22a2c0-582d977dc6580-gzip%22	https://kelsey.dexignzone.com/xhtml/post-video.html	avo/avo/kelsey.dexignzone.com/xhtml/post-video.html	(from https://kelsey.dexignzone.com/xhtml/)
10:18:25	43027/43027	---M-Z	200	added ('OK')	text/html	etag:%22a813-582d977faea00-gzip%22	https://kelsey.dexignzone.com/xhtml/post-navigation.html	avo/avo/kelsey.dexignzone.com/xhtml/post-navigation.html	(from https://kelsey.dexignzone.com/xhtml/)
10:18:25	38793/38793	---M-Z	200	added ('OK')	text/html	etag:%229789-582d977faea00-gzip%22	https://kelsey.dexignzone.com/xhtml/post-open-gutenberg.html	avo/avo/kelsey.dexignzone.com/xhtml/post-open-gutenberg.html	(from https://kelsey.dexignzone.com/xhtml/)
10:18:27	17212/17212	---M--	200	added ('OK')	image/jpeg	etag:%22433c-5828f94ec4680%22	https://kelsey.dexignzone.com/xhtml/images/category/pic1.jpg	avo/avo/kelsey.dexignzone.com/xhtml/images/category/pic1.jpg	(from https://kelsey.dexignzone.com/xhtml/)
10:18:28	21387/21387	---M--	200	added ('OK')	image/jpeg	etag:%22538b-5828f94ec4680%22	https://kelsey.dexignzone.com/xhtml/images/category/pic2.jpg	avo/avo/kelsey.dexignzone.com/xhtml/images/category/pic2.jpg	(from https://kelsey.dexignzone.com/xhtml/)
10:18:29	18808/18808	---M--	200	added ('OK')	image/jpeg	etag:%224978-5828f94ec4680%22	https://kelsey.dexignzone.com/xhtml/images/category/pic3.jpg	avo/avo/kelsey.dexignzone.com/xhtml/images/category/pic3.jpg	(from https://kelsey.dexignzone.com/xhtml/)
10:18:30	23192/23192	---M--	200	added ('OK')	image/jpeg	etag:%225a98-5828f94fb88c0%22	https://kelsey.dexignzone.com/xhtml/images/category/pic4.jpg	avo/avo/kelsey.dexignzone.com/xhtml/images/category/pic4.jpg	(from https://kelsey.dexignzone.com/xhtml/)
