date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:30:25	276/276	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Dec%202019%2015:30:24%20GMT	http://axilthemes.com/robots.txt		(from )
10:30:26	81152/81152	---M-Z	200	added ('OK')	text/html	etag:%2213d00-58ed223612849-gzip%22	http://axilthemes.com/demo/template/papr/	papr/papr/axilthemes.com/demo/template/papr/index.html	(from )
10:30:27	9573/9573	---M--	200	added ('OK')	image/png	etag:%222565-58ed0fc7a9252%22	http://axilthemes.com/demo/template/papr/assets/images/papr.png	papr/papr/axilthemes.com/demo/template/papr/assets/images/papr.png	(from http://axilthemes.com/demo/template/papr/)
10:30:27	2169/2169	---M--	200	added ('OK')	image/png	etag:%22879-58ed0fc7a82b1%22	http://axilthemes.com/demo/template/papr/assets/favicon/apple-icon-57x57.png	papr/papr/axilthemes.com/demo/template/papr/assets/favicon/apple-icon-57x57.png	(from http://axilthemes.com/demo/template/papr/)
10:30:28	2417/2417	---M--	200	added ('OK')	image/png	etag:%22971-58ed0fc7a82b1%22	http://axilthemes.com/demo/template/papr/assets/favicon/apple-icon-60x60.png	papr/papr/axilthemes.com/demo/template/papr/assets/favicon/apple-icon-60x60.png	(from http://axilthemes.com/demo/template/papr/)
10:30:29	2510/2510	---M--	200	added ('OK')	image/png	etag:%229ce-58ed0fc7a82b1%22	http://axilthemes.com/demo/template/papr/assets/favicon/apple-icon-72x72.png	papr/papr/axilthemes.com/demo/template/papr/assets/favicon/apple-icon-72x72.png	(from http://axilthemes.com/demo/template/papr/)
10:30:30	2739/2739	---M--	200	added ('OK')	image/png	etag:%22ab3-58ed0fc7a82b1%22	http://axilthemes.com/demo/template/papr/assets/favicon/apple-icon-76x76.png	papr/papr/axilthemes.com/demo/template/papr/assets/favicon/apple-icon-76x76.png	(from http://axilthemes.com/demo/template/papr/)
10:30:31	5078/5078	---M--	200	added ('OK')	image/png	etag:%2213d6-58ed0fc7a82b1%22	http://axilthemes.com/demo/template/papr/assets/favicon/apple-icon-114x114.png	papr/papr/axilthemes.com/demo/template/papr/assets/favicon/apple-icon-114x114.png	(from http://axilthemes.com/demo/template/papr/)
10:30:32	5353/5353	---M--	200	added ('OK')	image/png	etag:%2214e9-58ed0fc7a82b1%22	http://axilthemes.com/demo/template/papr/assets/favicon/apple-icon-120x120.png	papr/papr/axilthemes.com/demo/template/papr/assets/favicon/apple-icon-120x120.png	(from http://axilthemes.com/demo/template/papr/)
10:30:35	7061/7061	---M--	200	added ('OK')	image/png	etag:%221b95-58ed0fc7a82b1%22	http://axilthemes.com/demo/template/papr/assets/favicon/apple-icon-152x152.png	papr/papr/axilthemes.com/demo/template/papr/assets/favicon/apple-icon-152x152.png	(from http://axilthemes.com/demo/template/papr/)
10:30:35	6653/6653	---M--	200	added ('OK')	image/png	etag:%2219fd-58ed0fc7a82b1%22	http://axilthemes.com/demo/template/papr/assets/favicon/apple-icon-144x144.png	papr/papr/axilthemes.com/demo/template/papr/assets/favicon/apple-icon-144x144.png	(from http://axilthemes.com/demo/template/papr/)
10:30:35	8714/8714	---M--	200	added ('OK')	image/png	etag:%22220a-58ed0fc7a82b1%22	http://axilthemes.com/demo/template/papr/assets/favicon/apple-icon-180x180.png	papr/papr/axilthemes.com/demo/template/papr/assets/favicon/apple-icon-180x180.png	(from http://axilthemes.com/demo/template/papr/)
10:30:37	7991/7991	---M--	200	added ('OK')	image/png	etag:%221f37-58ed0fc7a82b1%22	http://axilthemes.com/demo/template/papr/assets/favicon/android-icon-192x192.png	papr/papr/axilthemes.com/demo/template/papr/assets/favicon/android-icon-192x192.png	(from http://axilthemes.com/demo/template/papr/)
10:30:38	4087/4087	---M--	200	added ('OK')	image/png	etag:%22ff7-58ed0fc7a82b1%22	http://axilthemes.com/demo/template/papr/assets/favicon/favicon-96x96.png	papr/papr/axilthemes.com/demo/template/papr/assets/favicon/favicon-96x96.png	(from http://axilthemes.com/demo/template/papr/)
10:30:38	1738/1738	---M--	200	added ('OK')	image/png	etag:%226ca-58ed0fc7a82b1%22	http://axilthemes.com/demo/template/papr/assets/favicon/favicon-32x32.png	papr/papr/axilthemes.com/demo/template/papr/assets/favicon/favicon-32x32.png	(from http://axilthemes.com/demo/template/papr/)
10:30:39	1081/1081	---M--	200	added ('OK')	image/png	etag:%22439-58ed0fc7a82b1%22	http://axilthemes.com/demo/template/papr/assets/favicon/favicon-16x16.png	papr/papr/axilthemes.com/demo/template/papr/assets/favicon/favicon-16x16.png	(from http://axilthemes.com/demo/template/papr/)
10:30:40	720/720	---M--	200	added ('OK')	application/json	etag:%222d0-58e67d080628b%22	http://axilthemes.com/demo/template/papr/assets/favicon/manifest.json	papr/papr/axilthemes.com/demo/template/papr/assets/favicon/manifest.json	(from http://axilthemes.com/demo/template/papr/)
10:30:41	6653/6653	---M--	200	added ('OK')	image/png	etag:%2219fd-58ed0fc7a82b1%22	http://axilthemes.com/demo/template/papr/assets/favicon/ms-icon-144x144.png	papr/papr/axilthemes.com/demo/template/papr/assets/favicon/ms-icon-144x144.png	(from http://axilthemes.com/demo/template/papr/)
10:30:42	60832/60832	---M-Z	200	added ('OK')	text/css	etag:%22eda0-58d63fa16eb49-gzip%22	http://axilthemes.com/demo/template/papr/assets/css/fontawesome-all.min.css	papr/papr/axilthemes.com/demo/template/papr/assets/css/fontawesome-all.min.css	(from http://axilthemes.com/demo/template/papr/)
10:30:43	13227/13227	---M-Z	200	added ('OK')	text/css	etag:%2233ab-58d63fa16eb49-gzip%22	http://axilthemes.com/demo/template/papr/assets/css/iconfont.css	papr/papr/axilthemes.com/demo/template/papr/assets/css/iconfont.css	(from http://axilthemes.com/demo/template/papr/)
10:30:46	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%22d17-58d63fa16fae9-gzip%22	http://axilthemes.com/demo/template/papr/assets/css/vendor/owl.carousel.min.css	papr/papr/axilthemes.com/demo/template/papr/assets/css/vendor/owl.carousel.min.css	(from http://axilthemes.com/demo/template/papr/)
10:30:47	5249/5249	---M-Z	200	added ('OK')	text/css	etag:%221481-58d63fa16fae9-gzip%22	http://axilthemes.com/demo/template/papr/assets/css/vendor/magnific-popup.css	papr/papr/axilthemes.com/demo/template/papr/assets/css/vendor/magnific-popup.css	(from http://axilthemes.com/demo/template/papr/)
